id,Level1,Level2,Level3,Level4,Level5,Level6,Level7
460,-83.000000,-89.000000,nan,nan,nan,nan,nan
461,-83.000000,-89.000000,nan,nan,nan,nan,nan
462,-83.000000,-89.000000,nan,nan,nan,nan,nan
463,-85.000000,-87.000000,nan,nan,nan,nan,nan
464,-85.000000,-87.000000,nan,nan,nan,nan,nan
465,-93.000000,-87.000000,nan,nan,nan,nan,nan
466,-93.000000,-87.000000,nan,nan,nan,nan,nan
467,-93.000000,-87.000000,nan,nan,nan,nan,nan
468,-97.000000,-91.000000,nan,nan,nan,nan,nan
469,-97.000000,-91.000000,nan,nan,nan,nan,nan
470,-97.000000,-91.000000,nan,nan,nan,nan,nan
471,-97.000000,-91.000000,nan,nan,nan,nan,nan
472,-83.000000,-85.000000,nan,nan,nan,nan,nan
473,-79.000000,-73.000000,nan,nan,nan,nan,nan
474,-75.000000,-65.000000,nan,nan,nan,nan,nan
475,-75.000000,-65.000000,nan,nan,nan,nan,nan
476,-75.000000,-65.000000,nan,nan,nan,nan,nan
477,-75.000000,-65.000000,nan,nan,nan,nan,nan
478,-73.000000,-53.000000,nan,nan,nan,nan,nan
479,-73.000000,-53.000000,nan,nan,nan,nan,nan
480,-73.000000,-53.000000,nan,nan,nan,nan,nan
481,-73.000000,-57.000000,nan,nan,nan,nan,nan
482,-73.000000,-57.000000,nan,nan,nan,nan,nan
483,-73.000000,-57.000000,nan,nan,nan,nan,nan
484,-71.000000,-57.000000,nan,nan,nan,nan,nan
485,-71.000000,-57.000000,nan,nan,nan,nan,nan
486,-71.000000,-57.000000,nan,nan,nan,nan,nan
487,-71.000000,-57.000000,nan,nan,nan,nan,nan
488,-71.000000,-57.000000,nan,nan,nan,nan,nan
489,-73.000000,-65.000000,nan,nan,nan,nan,nan
490,-73.000000,-65.000000,nan,nan,nan,nan,nan
491,-75.000000,-67.000000,nan,nan,nan,nan,nan
492,-75.000000,-67.000000,nan,nan,nan,nan,nan
493,-75.000000,-67.000000,nan,nan,nan,nan,nan
494,-75.000000,-73.000000,nan,nan,nan,nan,nan
495,-75.000000,-73.000000,nan,nan,nan,nan,nan
